p_val	avg_log2FC	pct.1	pct.2	p_val_adj
cfl1l	1.12479563691827e-250	2.05079534595073	0.961	0.533	2.24959127383655e-247
epcam	1.00513120913649e-209	1.37438802354357	0.995	0.57	2.01026241827299e-206
si:ch211-222l21.1	3.06737617559514e-203	1.28779636533957	1	0.904	6.13475235119029e-200
bcam	1.20734857356509e-193	1.14539731939433	0.764	0.327	2.41469714713018e-190
tp63	1.27225090520952e-187	1.5186216403898	0.767	0.43	2.54450181041905e-184
cldni	3.01647725180427e-186	2.13915104599846	0.801	0.426	6.03295450360853e-183
zgc:92380	4.80977102183906e-184	1.11564059083213	0.809	0.462	9.61954204367812e-181
cd9b	2.28972437455868e-172	0.796111972832285	0.919	0.438	4.57944874911735e-169
pfn1	3.71875403171259e-171	1.5309778825359	0.952	0.773	7.43750806342518e-168
apoa2	4.83452904347707e-169	-4.42071278249612	0.014	0.658	9.66905808695415e-166
tmsb4x	2.16429315503156e-167	1.24916253198416	1	0.978	4.32858631006312e-164
vgll4l	8.61957853598932e-167	1.00023523168451	0.621	0.245	1.72391570719786e-163
apoa1b	3.72018861380798e-152	-3.97277143239952	0.022	0.631	7.44037722761597e-149
rho	2.52577681283486e-142	-2.90526190995126	0.003	0.571	5.05155362566972e-139
zgc:158343	3.45617633233475e-138	1.00868943578397	0.812	0.384	6.9123526646695e-135
krt8	4.91819592027994e-137	1.38192536363519	0.984	0.774	9.83639184055988e-134
bhmt	5.25610446663476e-131	-2.01417397564217	0.106	0.668	1.05122089332695e-127
col14a1a	2.40807945114018e-128	0.90069239379861	0.572	0.282	4.81615890228035e-125
cldn7b	6.23519460062066e-127	0.603832181383005	0.737	0.318	1.24703892012413e-123
postnb	3.36923552291745e-125	1.0046457171471	0.877	0.65	6.7384710458349e-122
si:ch211-251b21.1	2.76211235385851e-119	-2.27994104956401	0.05	0.586	5.52422470771703e-116
hmga1a	3.34417964475577e-112	0.829402775076657	0.998	0.952	6.68835928951154e-109
lpin1	6.12186237925669e-110	-1.26650336007569	0.011	0.566	1.22437247585134e-106
alcama	8.30799059494069e-106	0.96627322713353	0.743	0.526	1.66159811898814e-102
cthrc1a	1.81892948505609e-105	-0.830180482337216	0.028	0.523	3.63785897011218e-102
myh9a	8.88365821134539e-105	1.06332255107661	0.689	0.464	1.77673164226908e-101
ptgdsb.1	1.29955611023513e-104	-2.45099791638423	0.115	0.615	2.59911222047026e-101
tfa	2.04914123176962e-102	-1.69025959831998	0.011	0.488	4.09828246353923e-99
si:ch73-281n10.2	1.00308766809749e-100	0.748314335252783	0.998	0.967	2.00617533619498e-97
f11r.1	1.90035581431941e-100	0.501471136788059	0.804	0.419	3.80071162863882e-97
stmn1a	2.68504970566295e-100	1.04348438389505	0.928	0.82	5.37009941132589e-97
arhgdig	3.5594025811793e-100	0.774734882566836	0.782	0.48	7.1188051623586e-97
ptgs2a	2.671644444693e-99	1.16427776619425	0.563	0.294	5.343288889386e-96
glula	2.18120950525437e-98	-1.71842503601049	0.072	0.591	4.36241901050875e-95
her9	1.36189301502477e-97	0.884603628633319	0.762	0.498	2.72378603004954e-94
col11a1b	2.84845582047805e-96	-0.536434368536182	0.076	0.55	5.6969116409561e-93
gapdh	1.36214729380669e-95	-1.64274916641689	0.123	0.611	2.72429458761339e-92
oclna	8.81205331114105e-94	0.55798202609422	0.628	0.336	1.76241066222821e-90
cldn1	9.0507381146951e-94	0.85863328962918	0.645	0.421	1.81014762293902e-90
apoa1a	1.68980350113027e-93	-0.449187080754121	0.012	0.458	3.37960700226055e-90
BX908782.2	1.72128689980517e-93	-1.18802000011607	0.002	0.456	3.44257379961034e-90
arr3b	2.72932053399699e-93	-0.489902980563008	0.002	0.466	5.45864106799398e-90
sult2st1	8.99546108107531e-93	0.78098875623581	0.65	0.39	1.79909221621506e-89
tmem38a	1.00851070737857e-91	-0.298084615122898	0.022	0.472	2.01702141475714e-88
si:ch73-204p21.2	1.10707729636221e-90	-0.340732392471002	0.008	0.447	2.21415459272441e-87
col9a3	1.26659850897877e-89	-1.29351299855154	0.033	0.493	2.53319701795754e-86
mylz3	9.87129963177455e-89	-2.32302402643207	0.28	0.721	1.97425992635491e-85
alcamb	3.32245760403192e-88	0.836216639626744	0.711	0.553	6.64491520806383e-85
atp1b4	1.26380948632633e-87	-0.285567857436289	0.025	0.478	2.52761897265266e-84
zgc:110333	6.09010012283109e-87	-0.332678446870805	0.012	0.443	1.21802002456622e-83
aqp1a.1	6.72644042275879e-87	-0.655127424806791	0.028	0.473	1.34528808455176e-83
si:dkeyp-51b9.3	8.70958970272796e-87	-0.267467939867781	0.008	0.434	1.74191794054559e-83
scel	1.48633815667637e-86	-0.601279473381668	0.008	0.453	2.97267631335274e-83
si:ch211-217k17.9	6.41788417149473e-86	-0.416406588103961	0.011	0.45	1.28357683429895e-82
atf3	7.15125842920129e-86	1.21685341740391	0.745	0.517	1.43025168584026e-82
abcb5	7.27133468202739e-86	-0.585286025990228	0.006	0.468	1.45426693640548e-82
si:ch73-367p23.2	1.13066100715993e-85	-0.529735355785077	0.045	0.493	2.26132201431987e-82
si:dkey-12l12.1	5.25411602834738e-85	-0.435445154517784	0.002	0.428	1.05082320566948e-81
hamp	2.66059517589103e-84	-0.995354956587494	0	0.436	5.32119035178206e-81
tat	9.57626651498145e-84	-0.676236086603311	0.002	0.434	1.91525330299629e-80
ptprfa	1.49862248823968e-83	0.490187376869016	0.4	0.2	2.99724497647936e-80
zgc:136930	4.55425683550221e-83	-2.1282871680625	0.028	0.507	9.10851367100443e-80
ccl34b.1	5.50967805039091e-83	-0.48484587757608	0.002	0.41	1.10193561007818e-79
twist1a	1.37914157989279e-82	-0.991145235300509	0.025	0.53	2.75828315978558e-79
