p_val	avg_log2FC	pct.1	pct.2	p_val_adj
evm.TU.000127F-arrow-pilon.16	0	3.90722658794955	0.977	0.47	0
evm.TU.000637F-arrow-pilon.5	0	5.98271859919067	0.799	0.067	0
evm.model.000018F-arrow-pilon.92.update	0	5.9102147194848	0.648	0.018	0
evm.model.000352F-arrow-pilon.15.update	0	4.76402177046702	0.488	0.01	0
evm.model.000414F-arrow-pilon.8.update	0	2.41433777975448	0.111	0.002	0
evm.model.000422F-arrow-pilon.9.update	0	2.42479620620213	0.102	0.001	0
evm.model.000428F-arrow-pilon.17.update	0	3.7675004668298	0.256	0.002	0
evm.model.000026F-arrow-pilon.84.update	2.69602878716588e-282	2.09989976290277	0.113	0.003	5.07096054578031e-278
evm.model.000167F-arrow-pilon.29.update	1.12836083444902e-195	2.22695117782369	0.17	0.012	2.12233389351516e-191
evm.model.000018F-arrow-pilon.72.update	2.62555804788528e-178	2.34327888042925	0.145	0.009	4.93841213226742e-174
evm.model.000551F-arrow-pilon.13.update	8.75247270893456e-144	2.5508335718831	0.145	0.012	1.6462525918235e-139
evm.model.000055F-arrow-pilon.63.update	3.41800067993227e-93	0.706950625106009	0.992	0.892	6.42891747888461e-89
evm.model.000594F-arrow-pilon.5.update	3.09344710127269e-69	2.58576016571021	0.207	0.045	5.8184646527838e-65
evm.TU.000033F-arrow-pilon.1	1.17784003699907e-66	1.27736426517438	0.301	0.084	2.21539932559154e-62
evm.model.000345F-arrow-pilon.17.update	1.54225367215699e-59	2.26695479393403	0.24	0.065	2.90082493196008e-55
evm.model.000087F-arrow-pilon.65.update	6.67171371783813e-48	1.5508918854007	0.135	0.027	1.25488263318817e-43
evm.model.000384F-arrow-pilon.4.update	2.58591497379251e-41	1.69429235274432	0.123	0.026	4.86384747420634e-37
evm.model.000047F-arrow-pilon.11.update	6.7693502296641e-40	1.40506482285303	0.291	0.11	1.27324708469752e-35
MSTRG.6066.update	2.50717253529866e-34	-2.80062752700956	0.348	0.555	4.71574082164324e-30
evm.model.000104F-arrow-pilon.42.update	2.06701691500968e-32	1.87998854029047	0.18	0.059	3.88785211544171e-28
evm.model.000058F-arrow-pilon.22.update	2.25170684802397e-27	1.95392856190494	0.152	0.05	4.23523541044829e-23
evm.model.000047F-arrow-pilon.80.update	4.14999742735786e-24	1.30860891545898	0.18	0.068	7.80573016111741e-20
evm.TU.000059F-arrow-pilon.9	8.06815348192744e-23	-2.48417056291248	0.174	0.379	1.51753898841573e-18
evm.model.000285F-arrow-pilon.32.update	4.05078574060782e-19	1.32678004049854	0.152	0.06	7.61912289950926e-15
evm.model.000498F-arrow-pilon.19.update	3.21470321840132e-17	1.0159907835796	0.104	0.035	6.04653528349105e-13
evm.model.000198F-arrow-pilon.22.update	3.63011909716721e-15	-2.68817280702745	0.084	0.225	6.82789100986181e-11
evm.TU.000726F-arrow-pilon.11	6.89548537432347e-15	-2.72362461865984	0.094	0.231	1.2969718440565e-10
evm.model.000251F-arrow-pilon.8.update	3.17355626457565e-14	-1.2240454057317	0.299	0.44	5.96914197804035e-10
evm.model.000338F-arrow-pilon.9.update	3.25220651533788e-14	0.251828601166981	0.895	0.808	6.11707523469902e-10
evm.model.000293F-arrow-pilon.15.update	4.82518184631628e-14	-2.77369083662147	0.037	0.156	9.0756845347363e-10
evm.model.000074F-arrow-pilon.11.update	7.31921822683724e-14	-1.34441172978489	0.041	0.162	1.37667175628582e-09
evm.model.000260F-arrow-pilon.20.update	7.33025260463565e-14	1.19495856626766	0.146	0.066	1.37874721240592e-09
evm.model.000098F-arrow-pilon.47.update	7.51077552033673e-14	-2.42348492419346	0.115	0.254	1.41270176762014e-09
evm.TU.000004F-arrow-pilon.89	9.57817499400404e-14	-2.90065985558995	0.086	0.215	1.80155893462222e-09
evm.model.000309F-arrow-pilon.11.update	1.07108622301725e-13	0.265256793153115	0.887	0.821	2.01460607687314e-09
MSTRG.2281.update	1.38193771694788e-13	-2.21513094140532	0.027	0.14	2.59928665180726e-09
MSTRG.9707.update	2.18342509225149e-13	-1.33712025092694	0.207	0.357	4.10680425601582e-09
evm.TU.000393F-arrow-pilon.13	3.15396825146339e-13	-0.908390242512973	0.26	0.419	5.93229888417749e-09
rrnL	5.76127759305339e-13	-0.909551939226521	0.207	0.356	1.08363870247741e-08
MSTRG.2429.update	7.88851061864651e-13	-2.63424702602451	0.105	0.23	1.48374996226122e-08
evm.TU.000444F-arrow-pilon.11	1.18172061475226e-12	0.34066825739241	0.777	0.675	2.22269830428752e-08
evm.model.000030F-arrow-pilon.88.update	1.32444616298137e-12	-1.28196151602883	0.066	0.188	2.49115078795165e-08
MSTRG.12513.update	1.37334356061684e-12	-2.70259123649613	0.049	0.164	2.58312190316422e-08
evm.model.000631F-arrow-pilon.13.update	1.73116565429649e-12	-1.23304421667228	0.037	0.148	3.25614947916627e-08
evm.model.000095F-arrow-pilon.44.update	1.83480672147235e-12	-1.04924221888094	0.061	0.181	3.45108796241734e-08
evm.model.000200F-arrow-pilon.34.update	1.83686559426443e-12	-2.89305321376384	0.1	0.228	3.45496049625197e-08
