group_id	group_size	sp_in_grp	seed_ortholog_cnt	Styela_clava.pep	human.pep
1	2	2	2	evm.model.000018F_arrow_pilon.13.update	ENSG00000155657.29
2	2	2	2	evm.TU.000241F_arrow_pilon.14	ENSG00000197102.14
3	2	2	2	evm.model.000187F_arrow_pilon.7.update	ENSG00000197653.16
4	2	2	2	evm.model.000455F_arrow_pilon.9.update	ENSG00000039139.11
5	2	2	2	evm.model.000259F_arrow_pilon.45.update	ENSG00000187775.17
6	2	2	2	evm.model.000177F_arrow_pilon.43.update	ENSG00000007174.18
7	2	2	2	evm.model.000277F_arrow_pilon.13.update	ENSG00000183914.15
8	3	2	3	evm.model.000191F_arrow_pilon.4.update,evm.model.000291F_arrow_pilon.10.update	ENSG00000124721.18
9	2	2	2	evm.model.000199F_arrow_pilon.19.update	ENSG00000118997.14
10	2	2	2	evm.model.000193F_arrow_pilon.3.1.update	ENSG00000114841.18
11	2	2	2	evm.model.000398F_arrow_pilon.23.update	ENSG00000158486.14
12	2	2	2	evm.model.000003F_arrow_pilon.38.update	ENSG00000115423.19
13	2	2	2	evm.model.000004F_arrow_pilon.88.update	ENSG00000187240.17
14	2	2	2	evm.model.000267F_arrow_pilon.26.update	ENSG00000196367.14
15	3	2	3	evm.model.000080F_arrow_pilon.19.update	ENSG00000274442.2,ENSG00000174231.17
16	2	2	2	evm.model.000124F_arrow_pilon.27.update	ENSG00000081479.15
17	3	2	3	evm.model.000345F_arrow_pilon.17.update	ENSG00000148357.18,ENSG00000143341.12
18	2	2	2	evm.model.000098F_arrow_pilon.28.update	ENSG00000042781.14
19	2	2	2	evm.model.000392F_arrow_pilon.10.update	ENSG00000144028.15
20	3	2	3	evm.TU.000027F_arrow_pilon.57	ENSG00000157423.18,ENSG00000283022.2
21	2	2	2	evm.TU.000098F_arrow_pilon.7	ENSG00000185842.16
22	2	2	2	evm.model.000299F_arrow_pilon.15.update	ENSG00000150893.11
23	2	2	2	evm.TU.000142F_arrow_pilon.15	ENSG00000164199.18
24	2	2	2	evm.model.000040F_arrow_pilon.68.update	ENSG00000138759.20
25	3	2	3	evm.model.000119F_arrow_pilon.49.update	ENSG00000181222.19,ENSG00000284832.2
26	2	2	2	evm.model.000425F_arrow_pilon.11.update	ENSG00000138246.17
27	5	2	5	evm.model.000007F_arrow_pilon.32.update,evm.model.000469F_arrow_pilon.6.update	ENSG00000123104.12,ENSG00000150995.21,ENSG00000096433.11
28	2	2	2	evm.model.000433F_arrow_pilon.8.update	ENSG00000141367.12
29	5	2	5	evm.model.000260F_arrow_pilon.33.update2,evm.model.000299F_arrow_pilon.9.update	ENSG00000128591.16,ENSG00000136068.16,ENSG00000196924.19
30	3	2	3	evm.model.000607F_arrow_pilon.2.update	ENSG00000276802.2,ENSG00000128731.18
31	4	2	4	evm.model.000059F_arrow_pilon.53.update	ENSG00000275176.4,ENSG00000076555.16,ENSG00000278540.5
32	2	2	2	evm.model.000345F_arrow_pilon.4.update	ENSG00000198793.13
33	3	2	3	evm.model.000160F_arrow_pilon.27.update	ENSG00000171914.17,ENSG00000137076.21
34	3	2	3	evm.model.000210F_arrow_pilon.31.update	ENSG00000114374.13,ENSG00000124486.14
35	2	2	2	evm.TU.000178F_arrow_pilon.13	ENSG00000107611.16
36	2	2	2	evm.model.000069F_arrow_pilon.30.update	ENSG00000177084.18
37	4	2	4	evm.model.000109F_arrow_pilon.41.update	ENSG00000138829.12,ENSG00000166147.15,ENSG00000142449.13
38	3	2	3	evm.model.000005F_arrow_pilon.41.update	ENSG00000172915.20,ENSG00000198589.14
