gene_name	styela
ttn.1	evm.model.000018F_arrow_pilon.13.update
ttn.2	evm.model.000018F_arrow_pilon.13.update
dnah2	evm.model.000277F_arrow_pilon.13.update
dnah5	evm.model.000455F_arrow_pilon.9.update
si:dkeyp-86b9.1	evm.model.000187F_arrow_pilon.7.update
DNAH10	evm.model.000187F_arrow_pilon.7.update
dnah5l	evm.model.000009F_arrow_pilon.46.update
dnah7	evm.model.000199F_arrow_pilon.19.update
dnah1	evm.model.000193F_arrow_pilon.3.1.update
dnah3	evm.model.000398F_arrow_pilon.23.update
dnah9l	evm.model.000177F_arrow_pilon.43.update
dnah9l	evm.model.000259F_arrow_pilon.45.update
dnah6	evm.model.000003F_arrow_pilon.38.update
AL807739.1	evm.model.000003F_arrow_pilon.38.update
trrap	evm.model.000267F_arrow_pilon.26.update
DYNC2H1	evm.model.000004F_arrow_pilon.88.update
prpf8	evm.model.000080F_arrow_pilon.19.update
lrp2b	evm.model.000124F_arrow_pilon.27.update
lrp2a	evm.model.000124F_arrow_pilon.27.update
hmcn1	evm.model.000345F_arrow_pilon.17.update
ush2a	evm.model.000098F_arrow_pilon.28.update
snrnp200	evm.model.000392F_arrow_pilon.10.update
snrnp200	evm.model.000392F_arrow_pilon.10.update
frem3	evm.model.000299F_arrow_pilon.15.update
frem3	evm.model.000299F_arrow_pilon.15.update
frem3	evm.model.000299F_arrow_pilon.15.update
frem2a	evm.model.000299F_arrow_pilon.15.update
frem2b	evm.model.000299F_arrow_pilon.15.update
fras1	evm.model.000040F_arrow_pilon.68.update
fras1	evm.model.000040F_arrow_pilon.68.update
adgrv1	evm.TU.000142F_arrow_pilon.15
hydin	evm.TU.000027F_arrow_pilon.57
cubn	evm.TU.000178F_arrow_pilon.13
polr2a	evm.model.000119F_arrow_pilon.49.update
cltcb	evm.model.000433F_arrow_pilon.8.update
cltca	evm.model.000433F_arrow_pilon.8.update
cltca	evm.model.000433F_arrow_pilon.8.update
itpr1a	evm.model.000007F_arrow_pilon.32.update
itpr1a	evm.model.000469F_arrow_pilon.6.update
itpr3	evm.model.000007F_arrow_pilon.32.update
itpr3	evm.model.000469F_arrow_pilon.6.update
itpr1a	evm.model.000007F_arrow_pilon.32.update
itpr1a	evm.model.000469F_arrow_pilon.6.update
itpr1b	evm.model.000007F_arrow_pilon.32.update
itpr1b	evm.model.000469F_arrow_pilon.6.update
flna	evm.model.000260F_arrow_pilon.33.update2
flna	evm.model.000299F_arrow_pilon.9.update
CR352234.2	evm.model.000260F_arrow_pilon.33.update2
CR352234.2	evm.model.000299F_arrow_pilon.9.update
CR352234.3	evm.model.000260F_arrow_pilon.33.update2
CR352234.3	evm.model.000299F_arrow_pilon.9.update
flncb	evm.model.000260F_arrow_pilon.33.update2
flncb	evm.model.000299F_arrow_pilon.9.update
flnca	evm.model.000260F_arrow_pilon.33.update2
flnca	evm.model.000299F_arrow_pilon.9.update
mtor	evm.model.000345F_arrow_pilon.4.update
acaca	evm.model.000059F_arrow_pilon.53.update
acacb	evm.model.000059F_arrow_pilon.53.update
acaca	evm.model.000059F_arrow_pilon.53.update
usp9	evm.model.000210F_arrow_pilon.31.update
herc2	evm.model.000607F_arrow_pilon.2.update
tln2a	evm.model.000160F_arrow_pilon.27.update
tln1	evm.model.000160F_arrow_pilon.27.update
pole	evm.model.000069F_arrow_pilon.30.update
pole	evm.model.000069F_arrow_pilon.30.update
ryr2b	evm.TU.000016F_arrow_pilon.67
ryr3	evm.TU.000016F_arrow_pilon.67
ryr1b	evm.TU.000016F_arrow_pilon.67
	evm.TU.000016F_arrow_pilon.67
ryr1a	evm.TU.000016F_arrow_pilon.67
